topic,keywords
3,"yg, ini, itu, ada, di, dan, rakyat, tidak, bisa, akan"
0,"yg, ini, itu, ada, di, aja, danantara, ga, ya, mau"
26,"rolling_on_the_floor_laughing, yg, aja, di, ada, danantara, lagi, itu, mau, gak"
13,"light_skin_tone, folded_hands_light_skin_tone, yg, thumbs_up, folded_hands, ini, di, aja, ada, danantara"
39,"iki, opo, sing, ae, ora, wes, ra, nek, ki, ono"
19,"mendorong, dan, pertumbuhan, indonesia, strategis, yang, untuk, ekonomi, menjadi, investasi"
22,"optimisme, pertumbuhan, ekonomi, peresmian, hadirnya, baru, dengan, seiring, kita, danantara"
15,"face_with_tears_of_joy, face_with_hand_over_mouth, face_screaming_in_fear, face_with_open_eyes_and_hand_over_mouth, squinting_face_with_tongue, danantara, face_with_rolling_eyes, face_savoring_food, cat_with_tears_of_joy, aja"
4,"prabowo, presiden, badan, anagata, nusantara, pengelola, subianto, rosan, daya, bpi"
1,"danantaraporosinvestasi, investasi, pemerintah, sinergi, dengan, lebih, danantara, langkah, depan, dan"
5,"infrastruktur, danantarabangunnegeri, ekonomi, indonesia, pembangunan, bersama, lebih, dengan, yang, untuk"
33,"rolling_on_the_floor_laughing, danantara, aja, gini, di, ada, ga, ya, mau, nanti"
11,"kota, dukungan, danantaraporosinvestasi, dari, tiap, setiap, masyarakat, semangat, seluruh, buat"
2,"terpercaya, danantarabangunnegeri, ekonomi, danantara, nasional, pembangunan, lebih, investasi, tantangan, yang"
24,"loudly_crying_face, pensive_face, aku, gue, ini, ya, bgt, aja, danantara, ga"
7,"terpercaya, digital, danantarabangunnegeri, teknologi, digitalisasi, ekonomi, indonesia, inovasi, depan, masa"
38,"yang, dan, badan, presiden, akan, prabowo, ini, dalam, di, menjadi"
9,"gerakcepatekonomihebat, transformasi, ekonomi, efisien, global, bumn, transparan, efisiensi, transparansi, dunia"
35,"hukum, bpi, landasan, dasar, sudah, kuat, hukumnya, kokoh, ekonomi, kita"
21,"grinning_face_with_sweat, beaming_face_with_smiling_eyes, smiling_face_with_tear, grinning_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_big_eyes, smiling_face_with_halo, grinning_squinting_face, smiling_face_with_hearts, smiling_face_with_sunglasses"
32,"the, is, to, this, of, it, you, and, in, yg"
34,"indonesiagelap, hambalang, indonesiagelap2025, ikn, mangkrak, danantara, adilijokowi, 2029, food, akan"
10,"negara, terpercaya, aset, danantarabangunnegeri, lebih, produktif, kekayaan, danantara, memastikan, dengan"
43,"mouth_face, evil_monkey, money, no, face_with_peeking_eye, see, money_bag, grinning_face_with_sweat, beaming_face_with_smiling_eyes, money_with_wings"
28,"thinking_face, relieved_face, folded_hands, down_face, upside, clown_face, yawning_face, melting_face, zany_face, smirking_face"
6,"bpi, danantaraporosinvestasi, asing, kita, dukung, investasi, buat, ekonomi, indonesia, siap"
12,"terus, rakyat, semoga, kesejahteraan, buat, sejahtera, dukung, indonesia, demi, semangat"
23,"indonesiagelap, ndasmu, malam, pertamax, exabet88, siang, carmen, senin, kaburajadulu, hutangnya"
40,"emas, peluncuran, besok, dukung, indonesia, menuju, kita, yuk, mari, depan"
37,"danantarabangunnegeri, negeri, kalau, aksi, bukan, kayak, sekadar, buktiin, danantaraindonesia, butuh"
36,"korupsi, sabar, koruptor, nunggu, berita, danantara, bancakan, sarang, berdasi, liga"
17,"bpi, ekonomi, dukung, kita, lebih, depan, bersama, yuk, masa, ayo"
14,"berkelanjutan, aset, positif, optimalisasi, bumn, sektor, berdampak, investasi, optimalkan, dampak"
41,"danantaramembangunnegri, membangun, mari, dukung, adalah, perubahan, untuk, negeri, lebih, indonesia"
18,"doa, semoga, agar, danantaraporosinvestasi, kami, selalu, harapan, memajukan, terus, kemajuan"
16,"keren, energi, bikin, mantap, banget, sukses, semoga, buat, changer, salut"
25,"transparansi, anggaran, efisiensi, efisien, transparan, investasi, dan, danantara, di, dengan"
30,"harga, dm, bahan, size, varian, renang, liga, psps, putri, spbu"
31,"sby, jokowi, terpercaya, danantarabangunnegeri, pengawasan, amp, dan, produktif, aset, danantara"
8,"terpercaya, danantarabangunnegeri, ekonomi, dengan, danantara, nasional, berkat, dari, inovasi, lebih"
42,"tepatsolutifindonesia, presidenprabowo, berita, presiden, prabowo, investasi, diaudit, dinantara, siapapun, danantara"
20,"buruhbersamaprabowo, danantarabangunnegeri, ekonomi, indonesia, inovasi, digital, bersama, dengan, lebih, danantara"
29,"polri, sepenuh, danantarauntukindonesia, hati, komitmen, kolaborasiperkuatbangsa, mendukung, mengawal, menjaga, program"
27,"bupati, gubernur, hasto, gerakcepatekonomihebat, sukses, transformasi, ekonomi, efisien, global, bumn"
